Carcass Drop,Site,Flood,Season,Habitat,Species,group_size,event_length
2SD,5,Before Flood,Warm,Open,LittleCrow,3,11
2SD,5,Before Flood,Warm,Open,Corvid,2,0
2SD,5,Before Flood,Warm,Open,Corvid,2,1
2SD,5,Before Flood,Warm,Open,LittleCrow,3,0
2SD,5,Before Flood,Warm,Open,Corvid,1,4
2SD,6,Before Flood,Warm,Closed,Corvid,2,0
2SD,6,Before Flood,Warm,Closed,Corvid,2,9
2SD,6,Before Flood,Warm,Closed,Corvid,1,4
2SD,6,Before Flood,Warm,Closed,Corvid,1,0
2SD,6,Before Flood,Warm,Closed,Corvid,1,3
2SD,6,Before Flood,Warm,Closed,Corvid,2,0
2SD,6,Before Flood,Warm,Closed,Corvid,2,1
2SD,6,Before Flood,Warm,Closed,Corvid,1,5
2SD,6,Before Flood,Warm,Closed,Corvid,1,0
2SD,6,Before Flood,Warm,Closed,LittleCrow,5,20
2SD,6,Before Flood,Warm,Closed,Corvid,1,0
2SD,6,Before Flood,Warm,Closed,Corvid,1,3
2SD,6,Before Flood,Warm,Closed,Corvid,5,24
2SD,6,Before Flood,Warm,Closed,LittleCrow,3,0
2SD,6,Before Flood,Warm,Closed,Corvid,5,1
2SD,6,Before Flood,Warm,Closed,Corvid,5,11
2SD,6,Before Flood,Warm,Closed,Corvid,1,0
2SD,6,Before Flood,Warm,Closed,Corvid,2,0
2SD,6,Before Flood,Warm,Closed,Corvid,2,0
2SD,6,Before Flood,Warm,Closed,LittleCrow,4,25
2SD,6,Before Flood,Warm,Closed,Corvid,4,8
2SD,6,Before Flood,Warm,Closed,Corvid,4,9
2SD,6,Before Flood,Warm,Closed,Corvid,4,0
2SD,6,Before Flood,Warm,Closed,Corvid,2,0
2SD,6,Before Flood,Warm,Closed,Corvid,2,5
2SD,6,Before Flood,Warm,Closed,Corvid,2,9
2SD,6,Before Flood,Warm,Closed,LittleCrow,4,5
2SD,7,Before Flood,Warm,Open,Corvid,4,22
2SD,7,Before Flood,Warm,Open,Corvid,4,0
2SD,7,Before Flood,Warm,Open,Corvid,2,0
2SD,7,Before Flood,Warm,Open,Corvid,2,18
2SD,7,Before Flood,Warm,Open,Corvid,2,0
2SD,7,Before Flood,Warm,Open,Corvid,2,0
2SD,7,Before Flood,Warm,Open,Corvid,2,3
2SD,7,Before Flood,Warm,Open,Corvid,2,10
2SD,7,Before Flood,Warm,Open,Corvid,2,0
2SD,7,Before Flood,Warm,Open,Corvid,2,0
2SD,7,Before Flood,Warm,Open,Corvid,2,0
2SD,7,Before Flood,Warm,Open,Corvid,3,7
2SD,7,Before Flood,Warm,Open,Corvid,1,0
2SD,7,Before Flood,Warm,Open,Corvid,2,26
2SD,8,Before Flood,Warm,Closed,Corvid,2,7
2SD,8,Before Flood,Warm,Closed,Corvid,2,2
2SD,8,Before Flood,Warm,Closed,Corvid,2,1
2SD,8,Before Flood,Warm,Closed,Corvid,1,2
2SD,8,Before Flood,Warm,Closed,Corvid,2,0
2SD,8,Before Flood,Warm,Closed,Corvid,1,0
2SD,8,Before Flood,Warm,Closed,Corvid,3,1
2SD,8,Before Flood,Warm,Closed,Corvid,3,24
2SD,8,Before Flood,Warm,Closed,Corvid,2,3
2SD,8,Before Flood,Warm,Closed,LittleCrow,2,25
2SD,8,Before Flood,Warm,Closed,LittleCrow,2,9
2SD,8,Before Flood,Warm,Closed,Corvid,2,12
2SD,8,Before Flood,Warm,Closed,Corvid,3,7
2SD,8,Before Flood,Warm,Closed,Corvid,1,0
2SD,8,Before Flood,Warm,Closed,LittleCrow,10,16
2SD,8,Before Flood,Warm,Closed,Corvid,1,0
2SD,8,Before Flood,Warm,Closed,Corvid,2,0
2SD,9,Before Flood,Warm,Open,Corvid,1,6
2SD,9,Before Flood,Warm,Open,LittleCrow,3,5
2SD,9,Before Flood,Warm,Open,Corvid,3,0
2SD,9,Before Flood,Warm,Open,Corvid,1,1
2SD,9,Before Flood,Warm,Open,Corvid,1,0
2SD,9,Before Flood,Warm,Open,Corvid,2,4
2SD,9,Before Flood,Warm,Open,LittleCrow,1,7
2SD,9,Before Flood,Warm,Open,Corvid,1,0
2SD,9,Before Flood,Warm,Open,LittleCrow,2,18
2SD,9,Before Flood,Warm,Open,Corvid,2,0
2SD,9,Before Flood,Warm,Open,Corvid,2,0
2SD,9,Before Flood,Warm,Open,Corvid,2,0
2SD,9,Before Flood,Warm,Open,Corvid,2,0
2SD,9,Before Flood,Warm,Open,Corvid,1,0
2SD,9,Before Flood,Warm,Open,Corvid,2,5
2SD,9,Before Flood,Warm,Open,LittleCrow,2,36
2SD,9,Before Flood,Warm,Open,Corvid,2,0
2SD,9,Before Flood,Warm,Open,Corvid,1,0
2SD,9,Before Flood,Warm,Open,Corvid,2,0
2SD,9,Before Flood,Warm,Open,LittleCrow,1,0
2SD,9,Before Flood,Warm,Open,Corvid,2,13
2SD,9,Before Flood,Warm,Open,Corvid,2,14
2SD,9,Before Flood,Warm,Open,Corvid,2,0
2SD,9,Before Flood,Warm,Open,Corvid,2,0
2SD,9,Before Flood,Warm,Open,Corvid,1,0
2SD,9,Before Flood,Warm,Open,Corvid,2,6
2SD,9,Before Flood,Warm,Open,Corvid,2,0
2SD,9,Before Flood,Warm,Open,LittleCrow,1,0
2SD,9,Before Flood,Warm,Open,LittleCrow,2,4
2SD,9,Before Flood,Warm,Open,LittleCrow,2,3
2SD,9,Before Flood,Warm,Open,Corvid,7,1
2SD,9,Before Flood,Warm,Open,Corvid,5,2
2SD,9,Before Flood,Warm,Open,Corvid,4,0
2SD,9,Before Flood,Warm,Open,Corvid,1,0
2SD,10,Before Flood,Warm,Closed,Corvid,2,0
2SD,10,Before Flood,Warm,Closed,Corvid,2,1
2SD,10,Before Flood,Warm,Closed,Corvid,2,13
2SD,10,Before Flood,Warm,Closed,Corvid,2,14
2SD,10,Before Flood,Warm,Closed,LittleCrow,2,20
2SD,10,Before Flood,Warm,Closed,Corvid,2,13
2SD,10,Before Flood,Warm,Closed,LittleCrow,2,26
2SD,10,Before Flood,Warm,Closed,Corvid,2,11
2SD,10,Before Flood,Warm,Closed,LittleCrow,10,7
2SD,12,Before Flood,Warm,Open,Corvid,2,11
2SD,12,Before Flood,Warm,Open,Corvid,2,14
2SD,12,Before Flood,Warm,Open,Corvid,1,1
2SD,12,Before Flood,Warm,Open,Corvid,2,3
2SD,12,Before Flood,Warm,Open,Corvid,1,0
2SD,12,Before Flood,Warm,Open,Corvid,2,0
2SD,12,Before Flood,Warm,Open,Corvid,2,0
2SD,12,Before Flood,Warm,Open,Corvid,1,0
2SD,12,Before Flood,Warm,Open,Corvid,2,1
2SD,12,Before Flood,Warm,Open,Corvid,7,1
2SD,13,Before Flood,Warm,Closed,Corvid,2,2
2SD,13,Before Flood,Warm,Closed,Corvid,2,0
2SD,13,Before Flood,Warm,Closed,Corvid,6,1
2SD,13,Before Flood,Warm,Closed,Corvid,2,1
2SD,13,Before Flood,Warm,Closed,Corvid,2,9
2SD,13,Before Flood,Warm,Closed,Corvid,1,0
2SD,13,Before Flood,Warm,Closed,Corvid,2,0
2SD,13,Before Flood,Warm,Closed,Corvid,2,11
2SD,13,Before Flood,Warm,Closed,Corvid,2,5
2SD,13,Before Flood,Warm,Closed,Corvid,1,0
2SD,13,Before Flood,Warm,Closed,Corvid,4,7
2SD,13,Before Flood,Warm,Closed,Corvid,2,6
2SD,13,Before Flood,Warm,Closed,Corvid,2,0
2SD,13,Before Flood,Warm,Closed,Corvid,2,6
2SD,13,Before Flood,Warm,Closed,Corvid,1,0
2SD,13,Before Flood,Warm,Closed,Corvid,1,0
2SD,13,Before Flood,Warm,Closed,Corvid,2,27
2SD,13,Before Flood,Warm,Closed,Corvid,2,0
2SD,13,Before Flood,Warm,Closed,Corvid,2,22
2SD,13,Before Flood,Warm,Closed,Corvid,1,0
2SD,13,Before Flood,Warm,Closed,Corvid,2,47
2SD,13,Before Flood,Warm,Closed,LittleCrow,2,20
2SD,13,Before Flood,Warm,Closed,Corvid,2,0
2SD,13,Before Flood,Warm,Closed,Corvid,1,5
2SD,13,Before Flood,Warm,Closed,Corvid,2,7
2SD,13,Before Flood,Warm,Closed,Corvid,2,13
2SD,13,Before Flood,Warm,Closed,Corvid,2,1
2SD,13,Before Flood,Warm,Closed,Corvid,2,5
2SD,13,Before Flood,Warm,Closed,Corvid,5,0
2SD,14,Before Flood,Warm,Open,Corvid,2,16
2SD,14,Before Flood,Warm,Open,Corvid,9,29
2SD,14,Before Flood,Warm,Open,Corvid,7,0
2SD,14,Before Flood,Warm,Open,Corvid,5,6
2SD,14,Before Flood,Warm,Open,Corvid,5,4
2SD,14,Before Flood,Warm,Open,Corvid,5,4
2SD,14,Before Flood,Warm,Open,Corvid,1,0
2SD,14,Before Flood,Warm,Open,Corvid,4,19
2SD,14,Before Flood,Warm,Open,Corvid,5,13
2SD,14,Before Flood,Warm,Open,Corvid,6,12
2SD,14,Before Flood,Warm,Open,LittleCrow,6,17
2SD,14,Before Flood,Warm,Open,Corvid,3,0
2SD,14,Before Flood,Warm,Open,Corvid,6,4
2SD,14,Before Flood,Warm,Open,Corvid,5,2
2SD,14,Before Flood,Warm,Open,Corvid,6,0
2SD,14,Before Flood,Warm,Open,Corvid,6,0
2SD,14,Before Flood,Warm,Open,Corvid,6,0
2SD,14,Before Flood,Warm,Open,LittleCrow,6,9
2SD,14,Before Flood,Warm,Open,Corvid,13,0
2SD,14,Before Flood,Warm,Open,Corvid,2,0
2SD,14,Before Flood,Warm,Open,Corvid,7,23
2SD,14,Before Flood,Warm,Open,Corvid,5,21
2SD,14,Before Flood,Warm,Open,Corvid,2,10
2SD,14,Before Flood,Warm,Open,Corvid,3,0
2SD,14,Before Flood,Warm,Open,Corvid,3,6
2SD,14,Before Flood,Warm,Open,Corvid,2,6
2SD,14,Before Flood,Warm,Open,Corvid,2,23
2SD,14,Before Flood,Warm,Open,Corvid,2,31
2SD,14,Before Flood,Warm,Open,LittleCrow,3,24
2SD,14,Before Flood,Warm,Open,Corvid,2,4
2SD,14,Before Flood,Warm,Open,Corvid,3,14
2SD,14,Before Flood,Warm,Open,Corvid,3,6
2SD,14,Before Flood,Warm,Open,Corvid,3,0
2SD,14,Before Flood,Warm,Open,Corvid,3,0
2SD,14,Before Flood,Warm,Open,Corvid,3,0
2SD,14,Before Flood,Warm,Open,Corvid,5,35
2SD,14,Before Flood,Warm,Open,Corvid,1,0
2SD,14,Before Flood,Warm,Open,Corvid,4,4
2SD,14,Before Flood,Warm,Open,Corvid,4,14
2SD,14,Before Flood,Warm,Open,Corvid,3,0
2SD,14,Before Flood,Warm,Open,Corvid,2,1
2SD,14,Before Flood,Warm,Open,Corvid,1,10
2SD,14,Before Flood,Warm,Open,Corvid,2,1
2SD,14,Before Flood,Warm,Open,Corvid,2,2
2SD,14,Before Flood,Warm,Open,Corvid,1,0
2SD,14,Before Flood,Warm,Open,Corvid,3,1
2SD,15,Before Flood,Warm,Closed,Corvid,1,0
2SD,15,Before Flood,Warm,Closed,Corvid,1,0
2SD,15,Before Flood,Warm,Closed,Corvid,1,0
2SD,15,Before Flood,Warm,Closed,Corvid,4,5
2SD,15,Before Flood,Warm,Closed,Corvid,2,1
2SD,15,Before Flood,Warm,Closed,Corvid,3,10
2SD,15,Before Flood,Warm,Closed,Corvid,4,5
2SD,15,Before Flood,Warm,Closed,Corvid,3,5
2SD,15,Before Flood,Warm,Closed,Corvid,1,0
2SD,15,Before Flood,Warm,Closed,Corvid,4,1
2SD,15,Before Flood,Warm,Closed,Corvid,2,0
2SD,15,Before Flood,Warm,Closed,Corvid,2,0
2SD,15,Before Flood,Warm,Closed,Corvid,1,12
2SD,15,Before Flood,Warm,Closed,Corvid,1,0
2SD,15,Before Flood,Warm,Closed,Corvid,1,4
2SD,15,Before Flood,Warm,Closed,Corvid,1,0
2SD,15,Before Flood,Warm,Closed,Corvid,1,0
2SD,16,Before Flood,Warm,Open,Corvid,2,0
2SD,16,Before Flood,Warm,Open,Corvid,2,0
2SD,16,Before Flood,Warm,Open,Corvid,3,14
2SD,16,Before Flood,Warm,Open,Corvid,1,0
2SD,16,Before Flood,Warm,Open,Corvid,2,8
2SD,16,Before Flood,Warm,Open,Corvid,3,33
2SD,16,Before Flood,Warm,Open,LittleCrow,3,24
2SD,16,Before Flood,Warm,Open,Corvid,3,13
2SD,16,Before Flood,Warm,Open,Corvid,1,5
2SD,16,Before Flood,Warm,Open,Corvid,3,5
2SD,16,Before Flood,Warm,Open,Corvid,2,4
2SD,16,Before Flood,Warm,Open,Corvid,2,4
2SD,16,Before Flood,Warm,Open,Corvid,4,3
2SD,16,Before Flood,Warm,Open,Corvid,2,2
2SD,16,Before Flood,Warm,Open,Corvid,1,0
2SD,16,Before Flood,Warm,Open,Corvid,1,16
2SD,16,Before Flood,Warm,Open,Corvid,1,6
2SD,16,Before Flood,Warm,Open,Corvid,1,0
2SD,16,Before Flood,Warm,Open,Corvid,1,0
2SD,16,Before Flood,Warm,Open,Corvid,1,6
2SD,16,Before Flood,Warm,Open,Corvid,1,0
2SD,16,Before Flood,Warm,Open,Corvid,1,0
2SD,16,Before Flood,Warm,Open,Corvid,1,0
2SD,16,Before Flood,Warm,Open,Corvid,1,13
2SD,16,Before Flood,Warm,Open,Corvid,1,13
2SD,16,Before Flood,Warm,Open,Corvid,1,0
2SD,16,Before Flood,Warm,Open,Corvid,1,0
2SD,16,Before Flood,Warm,Open,Corvid,5,107
2SD,16,Before Flood,Warm,Open,Corvid,2,4
2SD,16,Before Flood,Warm,Open,Corvid,1,0
2SD,16,Before Flood,Warm,Open,Corvid,1,0
2SD,16,Before Flood,Warm,Open,Corvid,2,0
2SD,16,Before Flood,Warm,Open,Corvid,2,0
2SD,16,Before Flood,Warm,Open,Corvid,2,3
2SD,16,Before Flood,Warm,Open,Corvid,2,1
2SD,16,Before Flood,Warm,Open,Corvid,1,5
2SD,16,Before Flood,Warm,Open,Corvid,1,0
2SD,16,Before Flood,Warm,Open,Corvid,2,9
2SD,16,Before Flood,Warm,Open,Corvid,1,0
2SD,16,Before Flood,Warm,Open,Corvid,2,0
2SD,16,Before Flood,Warm,Open,Corvid,1,1
2SD,16,Before Flood,Warm,Open,Corvid,1,0
2SD,16,Before Flood,Warm,Open,Corvid,3,9
2SD,16,Before Flood,Warm,Open,Corvid,3,6
2SD,16,Before Flood,Warm,Open,Corvid,1,0
2SD,16,Before Flood,Warm,Open,Corvid,1,5
2SD,16,Before Flood,Warm,Open,Corvid,1,2
2SD,16,Before Flood,Warm,Open,Corvid,11,7
2SD,16,Before Flood,Warm,Open,Corvid,11,31
2SD,16,Before Flood,Warm,Open,Corvid,4,9
2SD,17,Before Flood,Warm,Closed,LittleCrow,1,6
2SD,17,Before Flood,Warm,Closed,Corvid,1,2
2SD,17,Before Flood,Warm,Closed,Corvid,1,0
2SD,18,Before Flood,Warm,Open,Corvid,1,0
2SD,18,Before Flood,Warm,Open,Corvid,2,0
2SD,18,Before Flood,Warm,Open,Corvid,7,0
2SD,18,Before Flood,Warm,Open,Corvid,2,15
2SD,18,Before Flood,Warm,Open,Corvid,4,21
2SD,18,Before Flood,Warm,Open,Corvid,7,29
2SD,18,Before Flood,Warm,Open,Corvid,4,3
2SD,18,Before Flood,Warm,Open,Corvid,3,6
2SD,18,Before Flood,Warm,Open,Corvid,4,5
2SD,18,Before Flood,Warm,Open,Corvid,2,5
2SD,18,Before Flood,Warm,Open,Corvid,1,0
2SD,18,Before Flood,Warm,Open,Corvid,2,4
2SD,18,Before Flood,Warm,Open,Corvid,2,0
2SD,18,Before Flood,Warm,Open,Corvid,1,0
2SD,18,Before Flood,Warm,Open,Corvid,2,1
2SD,18,Before Flood,Warm,Open,Corvid,3,3
2SD,18,Before Flood,Warm,Open,Corvid,1,0
2SD,18,Before Flood,Warm,Open,Corvid,3,0
2SD,18,Before Flood,Warm,Open,Corvid,5,4
2SD,18,Before Flood,Warm,Open,Corvid,1,2
2SD,18,Before Flood,Warm,Open,Corvid,4,5
2SD,19,Before Flood,Warm,Open,Corvid,2,26
2SD,19,Before Flood,Warm,Open,Corvid,2,25
2SD,19,Before Flood,Warm,Open,Corvid,2,12
2SD,19,Before Flood,Warm,Open,Corvid,1,0
2SD,19,Before Flood,Warm,Open,Corvid,2,37
2SD,19,Before Flood,Warm,Open,Corvid,1,6
2SD,19,Before Flood,Warm,Open,Corvid,2,12
2SD,19,Before Flood,Warm,Open,Corvid,2,13
2SD,19,Before Flood,Warm,Open,Corvid,2,37
2SD,19,Before Flood,Warm,Open,Corvid,2,2
2SD,19,Before Flood,Warm,Open,Corvid,2,0
2SD,19,Before Flood,Warm,Open,Corvid,2,0
2SD,19,Before Flood,Warm,Open,Corvid,2,1
2SD,19,Before Flood,Warm,Open,Corvid,2,11
2SD,19,Before Flood,Warm,Open,Corvid,2,0
2SD,19,Before Flood,Warm,Open,Corvid,2,3
2SD,19,Before Flood,Warm,Open,LittleCrow,5,40
2SD,19,Before Flood,Warm,Open,Corvid,1,0
2SD,19,Before Flood,Warm,Open,Corvid,3,15
2SD,19,Before Flood,Warm,Open,Corvid,2,0
2SD,19,Before Flood,Warm,Open,Corvid,2,2
2SD,19,Before Flood,Warm,Open,Corvid,2,6
2SD,19,Before Flood,Warm,Open,Corvid,1,14
2SD,19,Before Flood,Warm,Open,Corvid,2,9
2SD,19,Before Flood,Warm,Open,Corvid,2,7
2SD,19,Before Flood,Warm,Open,Corvid,2,2
2SD,19,Before Flood,Warm,Open,Corvid,2,0
2SD,19,Before Flood,Warm,Open,Corvid,2,0
2SD,19,Before Flood,Warm,Open,Corvid,2,0
2SD,19,Before Flood,Warm,Open,Corvid,2,0
2SD,19,Before Flood,Warm,Open,Corvid,2,14
2SD,19,Before Flood,Warm,Open,Corvid,1,3
2SD,19,Before Flood,Warm,Open,Corvid,3,9
2SD,19,Before Flood,Warm,Open,Corvid,2,0
2SD,19,Before Flood,Warm,Open,Corvid,2,0
2SD,19,Before Flood,Warm,Open,Corvid,1,7
2SD,19,Before Flood,Warm,Open,Corvid,5,9
2SD,19,Before Flood,Warm,Open,Corvid,1,2
2SD,19,Before Flood,Warm,Open,Corvid,3,13
2SD,19,Before Flood,Warm,Open,Corvid,3,11
2SD,19,Before Flood,Warm,Open,Corvid,7,2
2SD,19,Before Flood,Warm,Open,Corvid,3,0
2SD,19,Before Flood,Warm,Open,Corvid,6,28
2SD,19,Before Flood,Warm,Open,Corvid,4,3
2SD,19,Before Flood,Warm,Open,Corvid,5,2
2SD,19,Before Flood,Warm,Open,Corvid,3,2
2SD,19,Before Flood,Warm,Open,Corvid,4,7
2SD,19,Before Flood,Warm,Open,Corvid,4,10
2SD,19,Before Flood,Warm,Open,Corvid,5,10
2SD,19,Before Flood,Warm,Open,Corvid,3,3
2SD,19,Before Flood,Warm,Open,Corvid,3,2
2SD,19,Before Flood,Warm,Open,Corvid,2,0
2SD,19,Before Flood,Warm,Open,Corvid,1,0
2SD,19,Before Flood,Warm,Open,Corvid,3,0
2SD,19,Before Flood,Warm,Open,Corvid,3,0
2SD,19,Before Flood,Warm,Open,Corvid,1,0
2SD,19,Before Flood,Warm,Open,Corvid,3,1
2SD,19,Before Flood,Warm,Open,Corvid,5,6
2SD,19,Before Flood,Warm,Open,Corvid,3,0
2SD,19,Before Flood,Warm,Open,Corvid,3,0
2SD,19,Before Flood,Warm,Open,Corvid,4,15
2SD,19,Before Flood,Warm,Open,Corvid,2,0
2SD,19,Before Flood,Warm,Open,Corvid,3,0
2SD,19,Before Flood,Warm,Open,Corvid,1,0
2SD,19,Before Flood,Warm,Open,Corvid,3,14
2SD,19,Before Flood,Warm,Open,Corvid,1,5
2SD,19,Before Flood,Warm,Open,Corvid,1,0
2SD,19,Before Flood,Warm,Open,Corvid,1,0
2SD,19,Before Flood,Warm,Open,Corvid,4,0
2SD,19,Before Flood,Warm,Open,Corvid,1,0
2SD,19,Before Flood,Warm,Open,Corvid,1,0
2SD,19,Before Flood,Warm,Open,Corvid,1,2
2SD,19,Before Flood,Warm,Open,Corvid,1,2
2SD,20,Before Flood,Warm,Closed,Corvid,2,20
2SD,20,Before Flood,Warm,Closed,Corvid,1,0
2SD,20,Before Flood,Warm,Closed,Corvid,2,1
2SD,20,Before Flood,Warm,Closed,Corvid,3,10
2SD,20,Before Flood,Warm,Closed,Corvid,5,7
3SD,1,After Flood,Cool,Closed,Corvid,3,3
3SD,1,After Flood,Cool,Closed,Corvid,1,0
3SD,1,After Flood,Cool,Closed,Corvid,1,0
3SD,1,After Flood,Cool,Closed,Corvid,2,7
3SD,1,After Flood,Cool,Closed,Corvid,1,2
3SD,1,After Flood,Cool,Closed,Corvid,2,2
